timepoint,time_order,cell_state,comparison_type,n_sections,mean_score,sd_score,sem_score,p_enrichment_timepoint_permutation,n_permutations,fdr_across_102_timepoint_state_tests
26 dpb,4,SAC_HF_DP_DS,cross-state,2,0.07002686129187245,0.04600525643531716,0.03253062879563882,1.0,999,1.0
26 dpb,4,SAC_HF_Matrix,cross-state,2,0.06796512219211803,0.021851172472169247,0.01545111223194769,1.0,999,1.0
2 mph,5,Fib_K14,self,1,2.530046923274452,,,0.001,999,0.017
2 mph,5,KC_Basal,cross-state,1,0.15922714959925574,,,1.0,999,1.0
2 mph,5,KC_Basal_Mig,cross-state,1,0.0,,,1.0,999,1.0
2 mph,5,KC_Basal_Prolif,cross-state,1,0.43162560292777713,,,0.893,999,1.0
2 mph,5,KC_Spinous,cross-state,1,0.15802343316208478,,,1.0,999,1.0
2 mph,5,KC_Spinous_Mig,cross-state,1,0.16905456398252514,,,1.0,999,1.0
2 mph,5,KC_Spinous_Mat,cross-state,1,0.15659803095562014,,,1.0,999,1.0
2 mph,5,KC_Granular,cross-state,1,0.094851279713157,,,1.0,999,1.0
2 mph,5,SAC_SG_Progenitor,cross-state,1,0.02454495903287872,,,1.0,999,1.0
2 mph,5,SAC_SG_Clear,cross-state,1,0.0034393557266801165,,,1.0,999,1.0
2 mph,5,SAC_SG_Dark,cross-state,1,0.004033364720256623,,,1.0,999,1.0
2 mph,5,SAC_SG_Ductal,cross-state,1,0.01839437089947463,,,1.0,999,1.0
2 mph,5,SAC_HF_IRS,cross-state,1,0.03409837855065459,,,1.0,999,1.0
2 mph,5,SAC_HF_ORS,cross-state,1,0.041425159552847056,,,1.0,999,1.0
2 mph,5,SAC_HF_HFSC,cross-state,1,0.0405106632597739,,,1.0,999,1.0
2 mph,5,SAC_HF_DP_DS,cross-state,1,0.04245106328164552,,,1.0,999,1.0
2 mph,5,SAC_HF_Matrix,cross-state,1,0.0,,,1.0,999,1.0

