section,conditioned_on,cell_state,distance_coordinate_units,distance_um,cooccurrence_probability_ratio
26dpb_p2,Fib_K14,CD4_T,5151.3622379594035,2575.6811189797018,0.9726264356068274
26dpb_p2,Fib_K14,CD4_T,5344.4063316344555,2672.2031658172277,0.9709593698464567
26dpb_p2,Fib_K14,CD4_T,5537.450425309507,2768.7252126547537,0.9701191440087081
26dpb_p2,Fib_K14,CD4_T,5730.494518984558,2865.247259492279,0.9718139712946043
26dpb_p2,Fib_K14,CD4_T,5923.5386126596095,2961.7693063298047,0.9729229129818752
26dpb_p2,Fib_K14,CD4_T,6116.582706334661,3058.2913531673307,0.9742597965137325
26dpb_p2,Fib_K14,CD4_T,6309.626800009713,3154.8134000048567,0.975330898867502
26dpb_p2,Fib_K14,CD4_T,6502.670893684764,3251.335446842382,0.9772969464514042
26dpb_p2,Fib_K14,CD4_T,6695.7149873598155,3347.8574936799077,0.9779926986991452
26dpb_p2,Fib_K14,CD4_T,6888.759081034867,3444.3795405174337,0.9777631385816898
26dpb_p2,Fib_K14,CD4_T,7081.803174709919,3540.9015873549597,0.9796609100480878
26dpb_p2,Fib_K14,CD4_T,7274.84726838497,3637.423634192485,0.9801607565156152
26dpb_p2,Fib_K14,CD4_T,7467.8913620600215,3733.9456810300107,0.9804022862941522
26dpb_p2,Fib_K14,CD4_T,7660.935455735073,3830.4677278675367,0.9807368616293153
26dpb_p2,Fib_K14,CD4_T,7853.979549410125,3926.9897747050627,0.9816218094998317
26dpb_p2,Fib_K14,CD4_T,8047.023643085176,4023.511821542588,0.982293691631612
26dpb_p2,Fib_K14,CD4_T,8240.067736760227,4120.033868380114,0.9831450877770498
26dpb_p2,Fib_K14,CD4_T,8433.11183043528,4216.55591521764,0.9844477562964357
26dpb_p2,Fib_K14,CD4_T,8626.155924110331,4313.077962055166,0.9856933803325566
26dpb_p2,Fib_K14,CD4_T,8819.200017785382,4409.600008892691,0.9866286325845377
26dpb_p2,Fib_K14,CD4_T,9012.244111460433,4506.122055730217,0.9874677784528135
26dpb_p2,Fib_K14,CD4_T,9205.288205135486,4602.644102567743,0.9871855432036444
26dpb_p2,Fib_K14,CD4_T,9398.332298810537,4699.166149405269,0.9875907755026841
26dpb_p2,Fib_K14,CD4_T,9591.376392485588,4795.688196242794,0.9883645836225268
26dpb_p2,Fib_K14,CD4_T,9784.42048616064,4892.21024308032,0.9880448787944323
26dpb_p2,Fib_K14,CD8_T,518.3039897581684,259.1519948790842,0.7283784214311532
26dpb_p2,Fib_K14,CD8_T,711.3480834332199,355.67404171660996,0.7671773696964331
26dpb_p2,Fib_K14,CD8_T,904.3921771082714,452.1960885541357,0.7584943804743309
26dpb_p2,Fib_K14,CD8_T,1097.436270783323,548.7181353916615,0.7439778394633164
26dpb_p2,Fib_K14,CD8_T,1290.4803644583744,645.2401822291872,0.7414854223947988
26dpb_p2,Fib_K14,CD8_T,1483.524458133426,741.762229066713,0.7516299043119498
