predictedGroup	TSSEnrichment_count	TSSEnrichment_mean	TSSEnrichment_median	TSSEnrichment_std	NucleosomeRatio_count	NucleosomeRatio_mean	NucleosomeRatio_median	NucleosomeRatio_std	nFrags_count	nFrags_mean	nFrags_median	nFrags_std	DoubletScore_count	DoubletScore_mean	DoubletScore_median	DoubletScore_std	predictedScore_count	predictedScore_mean	predictedScore_median	predictedScore_std	FibK14_marker_score_count	FibK14_marker_score_mean	FibK14_marker_score_median	FibK14_marker_score_std	Klf4_gene_score_count	Klf4_gene_score_mean	Klf4_gene_score_median	Klf4_gene_score_std
Fib_Myo	950	11.37866	10.237	5.6434029099269925	950	0.27408593472532466	0.263305526613203	0.1627988391304285	950	12439.282105263157	9562.5	8894.078462016721	950	75.92122771432425	5.2818828025643505	114.0368690355983	950	0.659023514480784	0.629569161882963	0.17237119436896708	950	0.22400371042298156	0.1827488450979745	0.21848344708924014	950	0.43199249111085797	0.0	0.6748242433812003
Fib_Papi	78	14.010628205128205	13.652000000000001	4.218106955560135	78	0.2167382294147722	0.2127209988335385	0.08513471314950512	78	10074.653846153846	9342.5	4839.7111962427	78	34.7079726214405	0.7522347782436525	69.6398563013858	78	0.2910171701633048	0.28878227315627103	0.04492403994795589	78	0.3729672384258868	0.39126384841559947	0.1796183981560386	78	0.7948906923413303	0.7419317891429575	0.7072080148694199
Fib_Prolif	39	16.612410256410257	16.424	6.446912927979149	39	0.29246298005121535	0.327382625808265	0.10019212945943717	39	8171.5641025641025	6450.0	5061.997555546789	39	12.439185826720882	0.0	55.239127425724675	39	0.3142344366062636	0.315478325055504	0.047070046250936116	39	0.35258654742414686	0.279862151413082	0.25261019250422717	39	0.9680011242277979	0.790273891290668	0.9946825407525944
Fib_SFRP2	3311	11.704740561763817	11.341	4.394570346662474	3311	0.2904217024455224	0.306854838709677	0.09947792724995994	3311	10987.473874962247	9968.0	5492.824663296567	3311	35.94077486479267	0.0	80.8153567328286	3311	0.549984868350139	0.602465334826487	0.16731389904782112	3311	0.4069894591495381	0.40353819859289	0.19823819130564113	3311	1.0470994343874445	1.10260430993765	0.7477028588934576
KC_Basal	808	11.004935643564355	10.779	3.6501273561073924	808	0.29272396610395846	0.28887305028286947	0.10356558212346396	808	10227.294554455446	8817.5	6044.089837821167	808	21.405343326241677	0.0	59.16132452606756	808	0.31850019585995926	0.319380567897104	0.07638245714433382	808	0.8772679000800931	0.8963104788491825	0.3287520279410588	808	0.7183681337931526	0.6624261870507565	0.6849873847085413
KC_Basal_Mig	333	9.138657657657658	8.713	3.323822915561985	333	0.29246737442829884	0.296721434466202	0.11017729691437939	333	11774.132132132132	10084.0	6549.782473667961	333	28.13367048514871	0.0122098107486609	62.94104641162967	333	0.34732279538140814	0.345430850349091	0.08032314153346203	333	0.9086662320884266	0.900873906701473	0.299938733800634	333	0.950879757288382	0.925052237542728	0.7389339061304798
KC_Basal_Prolif	1175	12.305353191489363	12.131	4.495785379579203	1175	0.3002904892165213	0.297867270344335	0.10912244589638369	1175	12435.825531914894	10161.0	8155.80977553719	1175	34.801854714972	0.0	85.34117432301153	1175	0.3147187983374108	0.309565135206588	0.0729158598335673	1175	0.8907666760473008	0.90443955849893	0.33239128445439736	1175	0.8383642052159586	0.831603923706961	0.7114449992013685
KC_Granular	2844	9.192577004219409	8.771	3.44233796769472	2844	0.2753860104702199	0.2729450926992565	0.11671967143088578	2844	12247.54676511955	10270.0	7613.252516452837	2844	20.143035007071788	0.0	59.64855537550754	2844	0.522808257471709	0.4986691050447815	0.18900695660631905	2844	0.8423310597025798	0.8444672342690585	0.3117076546435663	2844	1.0195533595795336	1.04696805551577	0.7429099341597167
KC_Spinous	1	4.911	4.911		1	0.308110865499065	0.308110865499065		1	7693.0	7693.0		1	84.4722189144465	84.4722189144465		1	0.291819479597796	0.291819479597796		1	0.803900834194287	0.803900834194287		1	0.0	0.0	
KC_Spinous_Mat	7	8.765	7.711	2.56692494371508	7	0.30052811250679584	0.316945173318602	0.08373171339919161	7	9329.714285714286	9493.0	5289.535036726944	7	2.127140992919059	0.0	4.820042597700128	7	0.21008762455332186	0.216937945765051	0.023734387278089013	7	0.8002003760530917	0.739658657920423	0.4072433751084499	7	1.07316498822212	1.3004641045147	0.7845344961023617
KC_Spinous_Mig	251	10.639362549800797	9.871	4.269823089547372	251	0.30935404660305477	0.316014511531485	0.10937765350350816	251	12109.681274900398	9832.0	7237.923071296628	251	43.06031685865014	0.0	89.90613368464913	251	0.26682353346849363	0.266242689595271	0.04385457302602608	251	0.8837069213633435	0.880026703367956	0.30606945752206566	251	1.0053284007416565	1.01812503775542	0.6980197164610346
LAM	197	13.489152284263959	13.603	3.188120732221695	197	0.30277571701832595	0.313239436619718	0.07153425692095293	197	9208.395939086295	9048.0	3217.5238444137717	197	17.573288037044186	0.0	62.55197052961309	197	0.4561874449473484	0.463803741478862	0.05697636062219803	197	0.20048231327395674	0.181089951238973	0.16272777526416296	197	0.7737326058281878	0.712949807856125	0.6901867313489493
M1_Macrophage	894	13.72918456375839	13.3965	5.927429360213526	894	0.29782844415562676	0.298427995488751	0.1285231689038233	894	9149.300894854587	8036.5	5242.299073572025	894	44.05292520651026	0.0	96.99411477566434	894	0.6013636354598956	0.6010547691452506	0.13762901914689843	894	0.20795582482763106	0.1860275929825255	0.19126901571387986	894	0.622824053187499	0.451075619360217	0.7036861200555317
M2_Macrophage	1163	12.836838349097162	12.723	4.299298936726833	1163	0.2907624032973709	0.299873809796948	0.0928510013355355	1163	9925.832330180567	8849.0	4787.959727957638	1163	40.969023830153056	0.0	87.1260044156076	1163	0.600748630106992	0.597033409090886	0.13750506414567287	1163	0.20296060864376603	0.185254752322443	0.17408147076108685	1163	0.7124019177346063	0.63921883853439	0.7059744598562376
Mast	218	10.223894495412845	9.3275	4.916956039450282	218	0.3075563240469735	0.306289613410788	0.10447205218791152	218	11029.380733944954	9542.0	6888.729522227631	218	32.16620834791392	0.0	82.88027890416272	218	0.342065821622391	0.3410938493214535	0.047073029713211936	218	0.37170596976494896	0.3731382655167535	0.1923754650722274	218	0.7886098410060396	0.7589344827412075	0.7240137383288752
Melanocyte	165	12.991987878787878	12.949	5.390146702591861	165	0.2969444814828528	0.288141993957704	0.10221938611795901	165	9327.50909090909	8107.0	5220.229890062294	165	22.562923244099164	0.0	71.6009720005812	165	0.23208369978645757	0.226997118872536	0.0400041877198053	165	0.957137965644086	1.00235773268859	0.35768049135505514	165	0.9198563068086153	0.93491619599732	0.7226778333654346
NK	13	12.988153846153846	13.72	6.423161628644597	13	0.35093566951043553	0.321602598808879	0.16876041993444366	13	8558.615384615385	7745.0	4478.683875471706	13	59.58472369987547	0.0	118.37078721058586	13	0.29925504358111665	0.30192202808004	0.03904417060735452	13	0.1889327430274104	0.088829738067854	0.2133287185320654	13	0.27812368890555955	0.0	0.582302763384661
Pericyte	2037	12.043945999018163	11.485	5.041710939889818	2037	0.2777664083715532	0.284310089020772	0.11279551164125458	2037	11844.790378006874	10001.0	7632.47628804502	2037	57.39302116261334	0.576769323748422	101.39761997663152	2037	0.6858241206177405	0.69314555855117	0.14471073234086865	2037	0.19427996438095047	0.160019368569031	0.19193351559399588	2037	0.43779270455200586	0.0	0.6296135127060233
SAC_HF_IRS	427	12.215451990632317	11.983	4.0714523742848785	427	0.26452514030585933	0.262745812090313	0.10858534380276681	427	12534.412177985949	11306.0	6523.610066817974	427	21.91055696940277	0.0	66.57519373955927	427	0.3300158905080052	0.314155652922662	0.08754838351416912	427	0.9133061169195738	0.92061000806054	0.33474250761523816	427	1.006196073750817	1.04837107223136	0.6895298290949429
