cell_type,region,count,region_bins,proportion,log2_enrichment,fisher_p,fisher_fdr
Fib_K14,Epi-Front,3297,9595,0.34361646690984887,0.28014935827450915,4.636499160036333e-48,4.2655792272334267e-47
Fib_K14,Newly-epi,2733,14431,0.18938396507518537,-0.5792904893628338,3.504453730220421e-207,9.672292295408362e-206
Fib_Myo,Un-epi,887,23016,0.03853840806395551,0.14148228819937195,3.3870434429475486e-05,0.00015077806294411667
Fib_Myo,Epi-Front,316,9595,0.03293381969775925,-0.08377691699514926,0.23651845932419344,0.420844223874937
Fib_Myo,Newly-epi,441,14431,0.030559212805765366,-0.19238554247304368,0.0005419724336653351,0.0021369198813090354
Fib_Papi,Un-epi,587,23016,0.025503997219325687,-0.03995380793505218,0.34104977221714805,0.5288187479322071
Fib_Papi,Epi-Front,208,9595,0.02167795726941115,-0.2722128612862064,0.0016163688092791888,0.005869970938961264
Fib_Papi,Newly-epi,439,14431,0.030420622271498856,0.21478635671451485,0.000194984580168152,0.0008153900625213629
Fib_Prolif,Un-epi,116,23016,0.005039972193256865,0.2993086602652375,0.0018883568372505461,0.006681878039501933
Fib_Prolif,Epi-Front,27,9595,0.0028139656070870246,-0.5212353562078387,0.02519177439426793,0.06952929732817949
Fib_Prolif,Newly-epi,50,14431,0.0034647633566627398,-0.2332001506787227,0.1595356696576225,0.3387064986577216
Fib_SFRP2,Un-epi,2079,23016,0.09032846715328467,-0.027317760548094417,0.20198878132671286,0.3964422562756327
Fib_SFRP2,Epi-Front,883,9595,0.09202709744658677,3.0009013710827473e-05,1.0,1.0
Fib_SFRP2,Newly-epi,1369,14431,0.09486522070542582,0.04356067146945255,0.1665829799738768,0.3443070640789139
KC_Basal,Un-epi,11,23016,0.00047792839763642685,-2.152484904268502,8.223294067753261e-17,5.158248097045228e-16
KC_Basal,Epi-Front,4,9595,0.00041688379364252214,-2.2438394442266585,2.061219091743847e-06,1.053511980224633e-05
KC_Basal,Newly-epi,89,14431,0.006167278774859677,1.4812347678972664,3.808789095242646e-31,3.0918405596675595e-30
KC_Basal_Mig,Un-epi,2,23016,8.689607229753215e-05,-1.401647135520739,0.02282969969526171,0.06429588893767584
KC_Basal_Mig,Epi-Front,2,9595,0.00020844189682126107,-0.13936472086419466,1.0,1.0
KC_Basal_Mig,Newly-epi,9,14431,0.0006236574041992932,1.1978181339940095,0.0047622123416746825,0.015647269122645385
KC_Basal_Prolif,Un-epi,0,23016,0.0,-0.5536502289657886,1.0,1.0
KC_Basal_Prolif,Epi-Front,1,9595,0.00010422094841063054,2.293594686411912,0.20396666808383998,0.3964422562756327
KC_Basal_Prolif,Newly-epi,0,14431,0.0,0.11981562199273642,1.0,1.0
KC_Granular,Un-epi,1,23016,4.344803614876608e-05,-7.040150090801257,2.0603843453504517e-116,2.8433303965836233e-115
KC_Granular,Epi-Front,9,9595,0.0009379885356956748,-3.114902663422283,5.813717850780406e-28,4.457183685598311e-27
KC_Granular,Newly-epi,393,14431,0.027233039983369137,1.6685730849435987,3.841313883833018e-186,7.572875942413663e-185
KC_Spinous,Un-epi,138,23016,0.005995828988529718,-2.9064944006358453,0.0,0.0
KC_Spinous,Epi-Front,147,9595,0.015320479416362689,-1.5533830077792854,2.2557571259859187e-69,2.5941206948838067e-68
KC_Spinous,Newly-epi,1837,14431,0.12729540572378906,1.4967578188845805,0.0,0.0
KC_Spinous_Mat,Un-epi,21,23016,0.0009124087591240876,-3.2166152416882183,8.860559198758351e-86,1.1115974267533206e-84
KC_Spinous_Mat,Epi-Front,20,9595,0.0020844189682126106,-2.023045577115688,5.111243764212159e-19,3.52675819730639e-18
KC_Spinous_Mat,Newly-epi,367,14431,0.02543136303790451,1.5521862942919362,3.059101205265567e-140,5.276949579083103e-139
KC_Spinous_Mig,Un-epi,508,23016,0.022071602363573167,-1.910613922274159,0.0,0.0
KC_Spinous_Mig,Epi-Front,1205,9595,0.1255862428348098,0.5969804641274112,1.2903726155738866e-58,1.3697801611476643e-57
KC_Spinous_Mig,Newly-epi,2194,14431,0.15203381609036104,0.872424519686509,2.024041639420638e-261,6.9829436560012e-260
LAM,Un-epi,55,23016,0.0023896419881821343,-0.06301511079278534,0.6454322174011667,0.8352533480173696
LAM,Epi-Front,25,9595,0.0026055237102657635,0.07727677948514884,0.8192688086194884,0.9663170563204222
LAM,Newly-epi,38,14431,0.0026332201510636823,0.08282141451053526,0.7643548647563292,0.9334599233307384
M1_Macrophage,Un-epi,60,23016,0.0026068821689259644,-0.15311229938206,0.23229698129967835,0.420844223874937
