dataset,gene,matched_symbol,mean_expression,percent_positive,n_cells_sampled,h5ad
SpinySteady,MMP2,Mmp2,0.9020386682483873,36.02439899533549,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,BMP2,Bmp2,0.08305175201699712,3.4445640473627552,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,SOX9,Sox9,0.10885724102635909,4.485109436670254,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
MouseEpi,PDGFRA,Pdgfra,0.44721999764442444,20.419999999999998,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,KRT14,,,0.0,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,KLF4,Klf4,6.711120128631592,74.568,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,IGFL1,,,0.0,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,IGF1,Igf1,2.9634199142456055,34.778,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,COL1A1,Col1a1,165.12542724609375,49.059999999999995,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,COL3A1,Col3a1,88.60163879394531,62.244,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,POSTN,Postn,12.15176010131836,46.918,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,LUM,Lum,4.163300037384033,39.786,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,MMP2,Mmp2,3.5322999954223633,49.388,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,BMP2,Bmp2,0.13279999792575836,8.238,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
MouseEpi,SOX9,Sox9,0.6642600297927856,17.314,50000,F:\时空组学流程分析skills\单细胞课题4_小鼠_成年胚胎上皮化自测数据\h5ad\pbmc_final_converted_counts.project4_stage_time_annotated.h5ad
RatSpatial,PDGFRA,Pdgfra,0.1819392639178169,6.29,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,KRT14,,,0.0,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
