species,condition,sample,path,source_type,total_units,double_positive,double_positive_fraction,double_positive_percent,fib_marker,epi_marker,marker_source,classification_source,mapping_status
Rat,Rat adult,FTDI_19dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,6704,708,0.10560859188544153,10.560859188544153,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_1dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,4017,5,0.0012447099825740602,0.12447099825740603,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_1dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,5474,120,0.021921812203142127,2.192181220314213,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_2dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7731,34,0.004397878670288449,0.4397878670288449,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_2dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7835,17,0.002169751116783663,0.2169751116783663,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_5dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,10435,1332,0.12764734068040248,12.76473406804025,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_5dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,10074,1239,0.12298987492555093,12.298987492555092,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_0.5dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,5397,31,0.005743931813970725,0.5743931813970724,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_0.5dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,5330,40,0.0075046904315197,0.7504690431519699,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_0dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,21135,212,0.010030754672344452,1.0030754672344453,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_0dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,19093,232,0.012151050123081758,1.2151050123081757,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_11dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,8636,25,0.0028948587308939323,0.2894858730893932,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_11dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7529,32,0.004250232434586267,0.42502324345862663,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_15dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,9049,60,0.006630566913471102,0.6630566913471102,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_15dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,12892,57,0.00442134657151722,0.442134657151722,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_19dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,9192,20,0.002175805047867711,0.2175805047867711,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_19dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,5533,16,0.00289174046629315,0.289174046629315,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_1dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,12042,432,0.03587443946188341,3.587443946188341,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_1dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,9877,302,0.03057608585602916,3.057608585602916,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_1dpi_3,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,2385,17,0.007127882599580713,0.7127882599580713,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_1dpi_4,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,2847,24,0.008429926238145416,0.8429926238145417,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_2dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,9459,55,0.005814568136166614,0.5814568136166613,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_2dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,8568,44,0.005135387488328665,0.5135387488328664,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_3dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7392,74,0.01001082251082251,1.001082251082251,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_3dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,6602,139,0.021054225992123598,2.10542259921236,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_7dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,8601,127,0.014765724915707476,1.4765724915707477,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,SS_7dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,11681,177,0.015152812259224381,1.5152812259224382,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_0.5dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,5733,37,0.0064538635967207394,0.6453863596720739,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_0.5dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,5652,35,0.006192498230714791,0.6192498230714791,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_0dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,16743,193,0.011527205399271337,1.1527205399271336,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
