KC_Basal	KC_Basal_Quies	KC_Basal_Mig	KC_Basal_Prolif	KC_Spinous	KC_Spinous_Mig	KC_Spinous_Mat	KC_Granular	SAC_SG_Progenitor	SAC_SG_Clear	SAC_SG_Dark	SAC_SG_Ductal	SAC_HF_HFSC	SAC_HF_DP_DS	SAC_HF_Matrix	SAC_HF_ORS	SAC_HF_IRS	Melanocyte	Fib_Papi	Fib_SFRP2	Fib_Fasci	Fib_EN1	Fib_Inflama	Fibrocyte	Fib_Myo	Fib_Prolif	Fib_K14	Endo_Arterial	Endo_Venous	Endo_Lymphatic	Endo_Capillary	Endo_Prolif	Pericyte	Neuron	Schwann	M1_Macrophage	M2_Macrophage	LAM	Neutrophil	Mast	cDC1	cDC2	pDC	LGHS	B_Mature	B_Plasma	CD4_T	CD8_T	NK
BATF	0.245233643626675	0.199401460247521	0.150203697956582	0.115049809429535	0.168432495876589	0.174356672848886	0.0878500515574585	0.253363768849944	0.0214415737092724	0.0213278336810105	0.0542975329330981	0.101411517848503	0.00167336521550743	0.00401160295294334	0.00196577590674896	0.00916807300747258	0.0043556185493473	0.0342295029528422	0.0254796400056543	0.0635924953132629	0.0207049928501222	0.0198549280330294	0.0594421231101052	0.091925584827415	0.0844158311990792	0.0246088062151744	0.0606193619101811	0.0600211549924607	0.147358678738568	0.00891336917360841	0.0480463331680068	0.0167942743503762	0.0808626184408341	0.0169391922322023	0.00889574543620064	0.0497873865443477	0.0406342097140042	0.0321507921767141	0.00325226620851904	0.116628652276098	0.00489101525933011	0.0216273368347395	0.0117314241795089	0.0150385131463389	0.0159727114309069	0.00633412706766068	0.118476697236033	0.0554568602943966	0.0105157688756408
BCL3	0.273629369676107	0.181995369912226	0.173006619715938	0.129207976747053	0.145406662771044	0.174952493530153	0.0799513219213455	0.267761046318729	0.0389781026450204	0.0619363524686077	0.0904430508380956	0.145128962675975	0.00468204279180984	0.00883794268251781	0.00393367705392	0.014258186658423	0.00717350555374119	0.0369503761123978	0.0285651291343496	0.0715946793350583	0.0256564326770858	0.0243798397162496	0.0761001697286721	0.0687435567078922	0.111183918782496	0.0289492891402616	0.0649642760636779	0.0570201293253718	0.138500224369325	0.00880610883536337	0.0451315851452267	0.0146239790081957	0.0994001782013969	0.00858658069929608	0.0100956877986648	0.0487494408151257	0.0395762899279547	0.0315447680425023	0.00385410919799289	0.0252856718781242	0.00520665620826732	0.0188999855485007	0.00951703516851055	0.0125917819583207	0.0117550405827141	0.00412815422767232	0.0577599749343982	0.0280035384056215	0.00545352670771115
BHLHE40	0.284946404207946	0.197300441423135	0.176459048368384	0.119962443962845	0.156132357025884	0.169623769406787	0.0823338705225303	0.269999970287919	0.0322213045105858	0.0610451886381224	0.0873673952950138	0.158528082431715	0.00411953978790902	0.00930080953363988	0.00329932186005588	0.0129594087984957	0.00534112555867838	0.0282120629620886	0.0262132175481382	0.0658563859699571	0.0221961810670268	0.0224477107474316	0.0750066444810971	0.0637572579524324	0.114178906085357	0.0269448775086267	0.0660767881053793	0.0485572074539471	0.117841242815435	0.00670757958010348	0.037469122974697	0.0115348214884539	0.104793827788503	0.00650529982362236	0.00860346416152757	0.0434703415227791	0.0364679445284641	0.0290294819345187	0.00323308594958716	0.0225731941176882	0.0031858192240215	0.0143228256223566	0.00585889924959193	0.0114143281137257	0.00889459410497817	0.00359144266501099	0.0425360026750898	0.0221419788386906	0.00458694015066374
BRCA1	0.28475186838664	0.214947921964538	0.153554126147632	0.339398358440487	0.167279648645682	0.211725403877197	0.0917748391315889	0.264503002870965	0.0215480869095113	0.018607364909655	0.0542098930263644	0.107483947633428	0.0026101700314507	0.0042964254948793	0.0071809167045358	0.00787627437204863	0.00343423380542607	0.0274006450054398	0.0197170948642313	0.0389230080023906	0.018688734009096	0.0139353549093686	0.0408870293064976	0.0440695423383928	0.0764784439716319	0.0636750443640366	0.0491050352217586	0.0286528900852698	0.085596462082256	0.00720295291136241	0.0282524782952396	0.0299507814944202	0.0712705906020822	0.0116815673634711	0.00770543462133022	0.0151868213491326	0.0124542151987048	0.0111949774027438	0.00187068116017186	0.017359466190966	0.00307951183419486	0.00817099641817687	0.00557960295681936	0.0076349765877759	0.00766933706622785	0.00615653066599642	0.0431390036081274	0.0193170480111802	0.00335966968381107
CDX1	0.230700584944327	0.288765299408606	0.140596852978348	0.0861919876941805	0.269907438493867	0.156531732031508	0.135965926945052	0.2750110022774	0.015895438038573	0.00945672107779982	0.042550231078984	0.0708653865809676	0.000446924032675655	0.00211053551863771	0.000555585112647194	0.00318522751207806	0.00177468235246225	0.0248779712408658	0.0166144744472694	0.0281174635696707	0.0111804848796113	0.0173648463949672	0.0208167931240166	0.0290594957102733	0.0498101006578933	0.00855477429178964	0.0391290589822606	0.0197322777958502	0.0710276030790966	0.00778058568841944	0.0312372792934168	0.00470698867253627	0.0512334676428592	0.034305333280047	0.0100461183623699	0.00888135863468986	0.00365897250152702	0.00376780288385314	0.000674178109605572	0.0118308393209582	0.00148605102443278	0.00570907287883859	0.00411426845415819	0.0081806437117441	0.00852484263643993	0.00414703462210808	0.0372025247633547	0.0180247997260505	0.00233098681454424
CEBPA	0.247128391929958	0.234415725164609	0.190640452275189	0.150533639460911	0.202568873925227	0.258021881292603	0.136390929933318	0.488659469843211	0.0203444177899419	0.0163006356217887	0.0479179418917848	0.117668457624554	0.00166775170273914	0.00377321935028929	0.00209504442552599	0.00923927270165459	0.00271804720176649	0.0234561354112497	0.0102075550675951	0.0209771194609556	0.00633433245711423	0.00645579269437513	0.0262776764972463	0.035901494704541	0.0323558755955132	0.00985119531025525	0.0455468978579061	0.0135832036547316	0.0396350016146227	0.00414845271347586	0.0124284167526125	0.00439232211675744	0.0311782582011195	0.00403006742421652	0.0033125087886734	0.010674098091956	0.00861234668513622	0.00792663349526823	0.00135357606576081	0.00791931402168444	0.000871181678240296	0.00359992795362207	0.001875190071984	0.00393914004323925	0.00266216335079217	0.00171159209325888	0.0120028804620071	0.00583203045174174	0.00103465204764508
CEBPB	0.263712007827649	0.182062795820841	0.191005699697287	0.142046478877036	0.147430051331405	0.215004057875595	0.0937546499124959	0.348266388045744	0.032194085911346	0.0379939065671795	0.0690780807486513	0.136680106684915	0.00340587646775248	0.00659944125199396	0.00367248678618581	0.0140171354708883	0.00569258659231764	0.0299916911649243	0.0320620715408266	0.0690841346086375	0.0231392940114118	0.0212666710234055	0.0924282050792927	0.0645054980860627	0.0944024926716311	0.034574340051729	0.0656558019660969	0.035178881088922	0.0895086847256961	0.00674277970086679	0.0280428908603352	0.0105347890296431	0.0864311304834497	0.00574033170417643	0.00772259970369826	0.0445918327407484	0.0393995661136464	0.0318550155530752	0.00322434342753197	0.0191189921223868	0.00326128842722695	0.0133342988999581	0.00608342505369008	0.00938614921325653	0.00730202079938502	0.00325242904347967	0.0324270607794412	0.0164577766952241	0.0030736439299015
CEBPD	0.27901927677673	0.187686009502985	0.183517805018519	0.135860385924571	0.150566976365656	0.194499533650857	0.0871186427028285	0.296140800101997	0.0369644728621443	0.0547907623974349	0.0866601661866822	0.14430819596717	0.00422662672142815	0.00811647809359561	0.00388254164135926	0.0140990229928665	0.0068343356989784	0.0333447746471028	0.030011290667867	0.0729967118722726	0.0243126966597671	0.0233047456382532	0.081929242351652	0.0630696316949452	0.106057649201856	0.0308155255390119	0.0666007545452261	0.0453626842355551	0.113123054439868	0.00794799466897045	0.0364994531862537	0.0122105282852472	0.0962049661514593	0.00846375139515576	0.00972760226456049	0.0416968512144645	0.0360212949914593	0.0283800398369646	0.00352540787263311	0.0216336228557361	0.00347169994100005	0.0142457926062896	0.00659322716194	0.00988252306436377	0.00867074448458405	0.00332147725993137	0.0442263221135848	0.0216160951332651	0.00404726973997138
CEBPE	0.267119878187921	0.182146326002814	0.196999612311371	0.110817456917716	0.148168102090558	0.150215418199871	0.0668933634149482	0.167002244564479	0.0242651313675443	0.0199681692801972	0.0506297395169135	0.110939385889946	0.00197505056888858	0.00464832262718473	0.0029428169358916	0.0126322291061021	0.00567742717000241	0.0434912976791482	0.0405727840675083	0.099638531408097	0.0305575283142498	0.0292078195816721	0.103648768426292	0.0874702407267542	0.12246960343348	0.0391036970148901	0.0718110989761962	0.0335293326724756	0.0875924342942784	0.00943143491767173	0.0282056576834726	0.00903781941487081	0.114465817097203	0.00870342142369829	0.00932359520280346	0.0876849529845443	0.0777702729574095	0.086316885322882	0.00407509721277033	0.0262263283354334	0.00572968788067951	0.0220848048787112	0.0107481173264772	0.0142410672639004	0.0116820297765337	0.00654200297188212	0.04218308131788	0.0235159413309713	0.00382809648697946
CLOCK	0.0881412931762999	0.0960846483298741	0.0196068286819714	0.0429481669894149	0.0867878499833381	0.0635777185902915	0.0498937465269174	0.0944802943585732	0.00842480066941731	0.0116614581842391	0.0419598462971549	0.0391844462899433	0.000716883363332865	0.00209140628370152	0.000376525989887355	0.00113227468870392	0.00183550223118045	0.0338105314958808	0.0151608037899558	0.0363267886495516	0.0194753423816002	0.0113079957416905	0.0111463909742903	0.0165665300183189	0.257110626169664	0.0128695773927103	0.0314115575580329	0.0139867767513483	0.0525108139048329	0.0126563144052572	0.0179025708476236	0.00552391192226109	0.0802995174645607	0.106613434797874	0.0175666698915675	0.00225187805429439	0.00374341587199867	0.00216393989777131	0.000465248752269387	0.0102803563771152	0.0010922820781174	0.00680007123246784	0.00205333447333189	0.00337073218910144	0.0053983436605517	0.00328788047002027	0.0335459383663035	0.0150791141905909	0.00330134615977973
