cell_type,compartment,sample_key,sample_id,day,n_bins,median_x_um,median_depth
CD4_T,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,87,-2719.277642348823,0.52290534880354
CD4_T,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,43,975.4413069722959,0.5083777034187795
CD4_T,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,58,1075.4542861980422,0.23557406659345495
CD4_T,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,92,947.405183339771,0.45761451431495137
CD4_T,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,47,2281.829161643849,0.2532898819408095
CD4_T,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,153,-3093.8097040957045,0.26737684920038496
CD4_T,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,76,-1285.6359338358907,0.2819385588435205
CD4_T,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,166,1294.8697932829264,0.2291342601430395
CD4_T,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,130,-111.02832293508224,0.4786133535667302
CD4_T,Immune,2mph,2mph_A03699G6.SCT,60,261,3840.8895570392297,0.28539333352123336
CD8_T,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,18,-1990.1441739978795,0.44593090441435035
CD8_T,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,5,-646.8881863712305,0.47904387755452016
CD8_T,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,3,-40.71376790492286,0.1822302997664485
CD8_T,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,9,-1020.9084929067799,0.2903310390760421
CD8_T,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,4,4364.150076821414,0.12238289478400352
CD8_T,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,10,-4177.885033266142,0.18197697539795377
CD8_T,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,7,-1065.4331112891555,0.21753941567773324
CD8_T,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,63,2045.0682238892132,0.16288603080155556
CD8_T,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,50,-888.8280917744828,0.39765650309402134
CD8_T,Immune,2mph,2mph_A03699G6.SCT,60,55,3303.944251027377,0.25857749324591545
NK,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,39,-1005.5039735090454,0.5735533016041416
NK,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,11,-494.0377473056276,0.33539621797558045
NK,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,18,1096.8442663289352,0.4093653860419114
NK,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,31,-334.2065734014095,0.4140752104840575
NK,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,18,3556.5204553982226,0.2829223630466876
NK,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,37,-3103.500726262596,0.3421946192560103
NK,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,43,-951.9333336418634,0.2548018328459837
NK,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,125,1139.0517261314403,0.28787659521200937
NK,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,83,-1369.2720965109193,0.4846442283444702
NK,Immune,2mph,2mph_A03699G6.SCT,60,139,4293.392504067004,0.2952615657509902

