cell_type,compartment,metric,n_sections,kruskal_statistic,kruskal_p,spearman_rho,spearman_p,kruskal_fdr,spearman_fdr
Fib_SFRP2,Fib/Endo,median_depth,10,2.9454545454545453,0.566994558544514,-0.4531529472296166,0.18842971034695138,0.6236940143989654,0.4094362087068668
Fib_Myo,Fib/Endo,median_x_um,10,7.036363636363632,0.1339790066792329,0.40909641069340386,0.24043166280382577,0.3221450310173305,0.43179563932115655
Fib_Myo,Fib/Endo,median_depth,10,3.1090909090909093,0.5397381572501496,-0.47203432003085055,0.16837273368937988,0.6089353568976047,0.40505439489542344
Fib_Inflama,Fib/Endo,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
Fib_Inflama,Fib/Endo,median_depth,10,3.7909090909090892,0.4350421151101227,-0.503503274699574,0.13790291298858187,0.5244343305437095,0.36117438152694664
Fib_Fasci,Fib/Endo,median_x_um,10,7.036363636363632,0.1339790066792329,0.40909641069340386,0.24043166280382577,0.3221450310173305,0.43179563932115655
Fib_Fasci,Fib/Endo,median_depth,10,2.5363636363636317,0.6381363723059834,-0.34615850135595705,0.3271756148334698,0.6685238186062683,0.5020966589100704
Fib_EN1,Fib/Endo,median_x_um,10,6.872727272727268,0.14276882056449874,0.33986471042221245,0.3366329872237972,0.3221450310173305,0.5020966589100704
Fib_EN1,Fib/Endo,median_depth,10,4.527272727272724,0.3393258781259192,-0.5349722293682974,0.11107611691958244,0.4432967385984294,0.3370585616870088
Fib_Prolif,Fib/Endo,median_x_um,10,7.199999999999996,0.125689123257546,0.4657405290971059,0.17490985234120557,0.3221450310173305,0.40505439489542344
Fib_Prolif,Fib/Endo,median_depth,10,5.0727272727272705,0.2799162973505256,-0.560147393103276,0.09216939397561713,0.40381367486633196,0.3004039507353447
Fib_K14,Fib/Endo,median_x_um,10,7.199999999999996,0.125689123257546,0.21398889174731894,0.5527517154799174,0.3221450310173305,0.6317162462627628
Fib_K14,Fib/Endo,median_depth,10,4.5,0.34254747982605904,-0.5853225568382547,0.07545554177400311,0.4432967385984294,0.27667031983801144
Fib_CD45,Fib/Endo,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
Fib_CD45,Fib/Endo,median_depth,10,7.036363636363632,0.1339790066792329,-0.6104977205732334,0.060844606433643304,0.3221450310173305,0.27667031983801144
Endo_Capillary,Fib/Endo,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
Endo_Capillary,Fib/Endo,median_depth,10,2.836363636363636,0.5855721501953058,-0.3524522922897017,0.31785766033992174,0.6361771508294681,0.5020966589100704
Endo_Arterial,Fib/Endo,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
Endo_Arterial,Fib/Endo,median_depth,10,3.7090909090909108,0.4468050834322371,-0.4657405290971059,0.17490985234120557,0.53133577489239,0.40505439489542344
Endo_Venous,Fib/Endo,median_x_um,10,7.118181818181817,0.12977310916444904,0.47203432003085055,0.16837273368937988,0.3221450310173305,0.40505439489542344
Endo_Venous,Fib/Endo,median_depth,10,4.7454545454545425,0.31442629830647634,-0.6356728843082121,0.04823078705965574,0.43233616017140497,0.27667031983801144
Endo_Lymphatic,Fib/Endo,median_x_um,10,7.036363636363632,0.1339790066792329,0.40909641069340386,0.24043166280382577,0.3221450310173305,0.43179563932115655
Endo_Lymphatic,Fib/Endo,median_depth,10,6.027272727272724,0.19712076665088812,-0.7993114485855738,0.00552659670271479,0.34012995029957166,0.06947721569127165
